Word	Wdnum	ValMn	ValSD	AroMn	AroSD	DomMn	DomSD
busy	1593	4.36	1.12	4.73	2	4.82	0.75
busybody	674	5.52	2.58	5.36	2.74	6.33	1.93
butler	1594	6.00	2.16	5.23	2.49	4.85	2.48
butt	1595	6.40	1.4	5.33	1.88	5.80	1.47
butter	57	5.31	1.29	3.12	1.9	4.73	1.89
butterfly	58	7.48	1.2	3.48	2.59	4.70	2.3
button	1596	5.53	0.99	3.87	2.29	5.93	2.25
cab	1597	4.40	1.24	4.47	2	3.40	1.3
cabinet	675	5.00	0.31	3.57	1.91	4.76	1.55
cake	59	7.26	1.36	4.91	2.48	5.13	2.03
calf	1598	5.59	1.18	3.00	1.9	6.00	1.32
calm	1599	7.07	1.71	3.67	2.77	6.33	2.32
camel	1600	5.56	1.82	4.19	1.94	5.31	0.79
campus	1601	6.15	1.68	4.85	1.41	4.54	1.76
cancel	1602	2.91	1.51	3.91	2.02	3.55	1.92
cancer	60	1.41	0.8	6.26	3.01	3.45	3.01
candlestick	1603	5.73	1.22	4.47	2.36	5.33	1.45
candy	61	6.96	2.47	4.96	2.47	5.58	1.96
cane	677	4.36	1.62	4.00	2	4.09	1.77
cannon	678	4.05	1.64	4.25	2.83	4.85	2.18
canoe	1604	6.64	1.5	4.57	2.85	5.86	1.1
canyon	1605	5.43	1.55	5.31	1.84	3.77	1.69
capability	1606	7.31	1.8	6.42	1.88	6.83	2.17
capable	62	7.26	1.45	4.74	2.26	6.96	1.8
cape	1607	6.20	1.66	4.64	2.24	5.86	1.41
car	551	7.62	1.92	6.81	1.77	7.35	2
carcass	679	2.59	1.71	4.59	2.3	4.36	1.76
card	1608	5.42	1.31	4.83	1.85	5.33	1.87
care	1609	7.93	1.54	6.14	1.99	6.86	1.46
carefree	63	7.45	1.4	4.82	2.79	5.96	2.43
caress	64	7.94	1.11	5.39	2.89	5.73	2.23
caring	1610	7.59	1.54	4.53	1.97	5.88	1.45
carnival	1611	7.40	1.92	6.87	2.47	6.00	1.56
carpet	1612	5.21	1.63	2.93	1.73	5.29	1.59
carrot	1613	5.36	2.17	3.69	1.65	6.00	2
cartoon	1614	6.80	1.32	5.67	1.88	5.60	1.72
carve	1615	4.91	0.94	4.18	1.66	4.55	0.82
carwash	1616	6.00	1.67	4.75	2.08	5.56	1.97
cash	503	8.46	1.07	7.65	1.5	7.15	2.49
casino	680	6.71	1.55	6.27	2.27	5.10	2.14
cast	1617	4.55	1.57	4.00	2.32	5.18	1.47
castle	1618	7.94	1.24	6.69	1.92	6.19	2.01
castrate	1619	2.27	1.49	5.45	2.54	2.82	1.47
cat	504	6.08	2.26	4.65	2.17	5.81	2.08
cattle	1620	5.27	1.44	3.00	1.6	5.07	1.33
cave	1621	4.88	2	5.44	2.16	3.88	1.71
cavern	1622	5.64	1.22	5.29	2.09	5.00	0.88
cavity	1623	2.20	1.08	5.80	2.88	3.20	1.86
cavort	1624	5.27	1.1	4.80	2.4	5.20	1.21
cease	1625	4.36	1.34	4.46	1.9	4.08	1.71
ceiling	1626	5.13	0.35	3.27	2.02	5.53	1.41
cell	587	4.27	1.34	4.46	1.9	4.12	1.93
cellar	681	4.21	1.79	4.46	2.28	4.46	1.28
cemetery	65	2.22	1.24	5.00	2.88	4.05	2.19
cereal	1627	7.24	1.2	4.35	2.83	6.24	2.28
chair	66	5.00	1	3.07	1.77	4.52	1.82
chalk	1628	4.69	1.44	3.75	1.91	5.33	1.23
